recording,subject,trial,timestamp,true_target,pred_ridge,pred_random_forest,pred_xgboost,pred_baseline_global_mean,pred_baseline_subject_mean,pred_baseline_ceiling,moving_avg,slope_short,slope_medium,decline_persistence
08M_1,8,1,6268.0,68.85967760854024,86.1932018119287,85.41371920750535,86.73983764648438,68.1300448600817,68.15116839562234,100.0,65.78104758262634,0.6980966567987509,1.7301798093888352,0
08M_1,8,1,6276.0,64.41810814626581,32.69245525477231,51.4861607678394,43.274635314941406,68.1300448600817,68.15116839562234,100.0,64.54202103614807,-5.0864732742308085,-1.4947331065226976,1
08M_1,8,1,6284.0,59.34303402594009,64.60075386536985,74.23712948557281,79.96060180664062,68.1300448600817,68.15116839562234,100.0,68.20489621162415,10.158925056456717,-1.6974678720748362,0
08M_1,8,1,6292.0,53.54409796390885,62.70702826656037,66.32038100338274,58.17856979370117,68.1300448600817,68.15116839562234,100.0,66.5923182964325,-4.899783706664618,-2.225034691038558,1
08M_1,8,1,6300.0,46.9180549437986,83.55061518044269,65.71535078563097,73.4233169555664,68.1300448600817,68.15116839562234,100.0,65.06745028495789,6.866401290893391,0.38313763482234403,0
08M_1,8,1,6308.0,39.346934028736655,69.21093828546282,67.6572283003545,57.84870910644531,68.1300448600817,68.15116839562234,100.0,63.70515513420105,-5.109093093872409,0.17582087289705792,1
08M_1,8,1,6316.0,30.695937991355848,61.83721797815218,65.40701948532802,66.16282653808594,68.1300448600817,68.15116839562234,100.0,62.149701833724976,0.8378162384031179,1.9771944454737673,0
08M_1,8,1,6324.0,20.81104336632184,52.40307073759882,60.433042976698864,55.42683792114258,68.1300448600817,68.15116839562234,100.0,65.12691688537598,-4.567531967163365,-1.85524967738543,1
08M_1,8,1,6332.0,9.51625819640405,36.30631168225987,41.84379354806572,34.492313385009766,68.1300448600817,68.15116839562234,100.0,58.59597635269165,-8.080517578125098,-2.092463220868384,2
08M_1,8,1,6340.0,3.2783899517994097,84.95516899783405,83.3367613883724,78.84282684326172,68.1300448600817,68.15116839562234,100.0,63.04200029373169,1.710547637939338,-2.0467979340327194,0
08M_1,8,1,6348.0,15.351827510938588,83.19242117002815,80.83353875639797,83.7965316772461,68.1300448600817,68.15116839562234,100.0,63.52149152755737,12.945959472657405,1.4954536528814277,0
08M_1,8,1,6356.0,25.91817793182821,78.83145783239519,68.9223100178805,79.78822326660156,68.1300448600817,68.15116839562234,100.0,66.22269821166992,14.084143447875435,2.2785587310787503,1
08M_1,8,1,6364.0,35.16556589984903,59.60403908625717,65.74010962332112,66.84988403320312,68.1300448600817,68.15116839562234,100.0,65.40101909637451,-3.998713684081405,3.1023190816246182,2
08M_1,8,1,6372.0,43.25863312029961,71.56203550085368,68.54064772599388,73.56926727294922,68.1300448600817,68.15116839562234,100.0,67.3660888671875,-4.362013244628763,2.973830359322614,0
08M_1,8,1,6380.0,50.34146962085904,70.5518859135508,68.08413641789478,66.5790786743164,68.1300448600817,68.15116839562234,100.0,67.41812038421631,-3.290805053711039,2.779325212751104,1
08M_1,8,1,6388.0,56.54017914929218,75.89433479891011,85.31983202562627,89.84803771972656,68.1300448600817,68.15116839562234,100.0,71.7207703590393,6.200427246093405,3.363704726809995,0
08M_1,8,1,6396.0,61.96512434107415,82.06255863881243,79.32188882110103,77.10839080810547,68.1300448600817,68.15116839562234,100.0,77.04778003692627,3.3886329650874307,-0.1760901496524367,1
